,State_ISO,State_Name,year,N_measles,Pop,Measles_pop
0,US-AK,ALASKA,1914,1,,
1,US-AK,ALASKA,1954,1487,215.0,691.6279069767442
2,US-AK,ALASKA,1955,537,222.0,241.89189189189187
3,US-AK,ALASKA,1956,2511,224.0,1120.982142857143
4,US-AK,ALASKA,1957,986,231.0,426.83982683982686
5,US-AK,ALASKA,1958,1231,224.0,549.5535714285714
6,US-AK,ALASKA,1959,1829,224.0,816.5178571428571
7,US-AK,ALASKA,1960,1456,229.0,635.8078602620087
8,US-AK,ALASKA,1961,1002,238.0,421.00840336134456
9,US-AK,ALASKA,1962,1406,246.0,571.5447154471545
10,US-AK,ALASKA,1963,1968,256.0,768.75
11,US-AK,ALASKA,1964,1038,263.0,394.6768060836502
12,US-AK,ALASKA,1965,428,271.0,157.93357933579335
13,US-AK,ALASKA,1966,1287,271.0,474.90774907749073
14,US-AK,ALASKA,1967,282,278.0,101.43884892086331
15,US-AK,ALASKA,1968,18,285.0,6.315789473684211
16,US-AK,ALASKA,1969,18,296.0,6.081081081081082
17,US-AK,ALASKA,1970,269,302.58299999999997,88.90122710132428
18,US-AK,ALASKA,1971,103,315.51,32.64555798548382
19,US-AK,ALASKA,1972,85,324.464,26.197051136643818
20,US-AK,ALASKA,1973,6,330.543,1.8151949973225872
21,US-AK,ALASKA,1974,1,341.06300000000005,0.293200962871962
22,US-AK,ALASKA,1976,22,400.969,5.486708448782824
23,US-AK,ALASKA,1977,109,403.436,27.017916100695032
24,US-AK,ALASKA,1978,20,404.76599999999996,4.941126478014459
25,US-AK,ALASKA,1979,24,402.75300000000004,5.958987270113444
26,US-AK,ALASKA,1980,4,405.315,0.9868867424102241
27,US-AK,ALASKA,1982,2,449.606,0.44483392125549925
28,US-AK,ALASKA,1983,4,488.417,0.818972312593542
29,US-AK,ALASKA,1987,2,539.309,0.3708449145109761
30,US-AK,ALASKA,1988,2,541.9830000000001,0.3690152643164084
31,US-AK,ALASKA,1989,79,547.159,14.438216313722338
32,US-AK,ALASKA,1990,27,553.12,4.8814000578536305
33,US-AK,ALASKA,1991,9,569.273,1.5809637906593146
34,US-AK,ALASKA,1993,3,596.993,0.5025184549902595
35,US-AK,ALASKA,1994,18,600.624,2.9968832414289137
36,US-AK,ALASKA,1995,48,601.345,7.982106777307535
37,US-AK,ALASKA,1996,6,604.918,0.991869972459077
38,US-AK,ALASKA,1998,36,615.205,5.851707967262945
39,US-AK,ALASKA,2000,2,627.9630000000001,0.3184901021238512
40,US-AL,ALABAMA,1900,2,1830.0,0.1092896174863388
41,US-AL,ALABAMA,1904,2,1978.0,0.10111223458038424
42,US-AL,ALABAMA,1907,3,2058.0,0.1457725947521866
43,US-AL,ALABAMA,1908,4,2070.0,0.1932367149758454
44,US-AL,ALABAMA,1909,1,2108.0,0.04743833017077799
45,US-AL,ALABAMA,1910,603,2150.0,28.046511627906977
46,US-AL,ALABAMA,1911,575,2185.0,26.31578947368421
47,US-AL,ALABAMA,1912,111,2217.0,5.006765899864682
48,US-AL,ALABAMA,1913,7,2279.0,0.307152259763054
49,US-AL,ALABAMA,1914,4,2336.0,0.17123287671232876
50,US-AL,ALABAMA,1915,2,2345.0,0.08528784648187633
